"x","y","cell","avg_biomass_by_plot","count"
109000,1310000,6831,106.08853068739,1
117000,1310000,6832,57.5651595745388,3
125000,1310000,6833,32.6611649135445,3
133000,1310000,6834,48.3325458527496,2
141000,1310000,6835,33.0168939725036,3
149000,1310000,6836,64.2977756231488,1
157000,1310000,6837,19.8049781624343,3
165000,1310000,6838,47.3473345143687,2
173000,1310000,6839,6.05192087064617,2
181000,1310000,6840,122.057831820067,1
189000,1310000,6841,48.428527685792,2
197000,1310000,6842,33.8397656154365,4
205000,1310000,6843,23.4478387594815,4
213000,1310000,6844,70.1495047614182,4
221000,1310000,6845,51.2944170555371,2
229000,1310000,6846,18.6526904720031,5
237000,1310000,6847,56.9835375742799,2
245000,1310000,6848,29.9000125151342,5
253000,1310000,6849,63.7343129252517,3
261000,1310000,6850,30.1107042340013,4
269000,1310000,6851,19.9096660959613,3
277000,1310000,6852,27.6866072177535,3
285000,1310000,6853,60.038872422348,4
293000,1310000,6854,56.1169798435447,3
301000,1310000,6855,59.8135873125857,3
309000,1310000,6856,14.7290958724256,3
317000,1310000,6857,72.2810179860403,5
325000,1310000,6858,66.061758072884,3
333000,1310000,6859,2.47686200150187,1
341000,1310000,6860,48.7893506058531,2
349000,1310000,6861,36.6372438191109,2
357000,1310000,6862,28.0018932234286,4
365000,1310000,6863,34.4105817209008,2
373000,1310000,6864,53.2603823625164,1
381000,1310000,6865,7.11209603239601,1
389000,1310000,6866,2.88781488350344,1
421000,1310000,6870,7.1119323646758,1
429000,1310000,6871,NA,0
437000,1310000,6872,20.8367880618922,2
453000,1310000,6874,NA,0
21000,1302000,7116,18.0424290072468,1
29000,1302000,7117,162.038372180699,1
37000,1302000,7118,64.1492786808455,3
53000,1302000,7120,72.1010037433865,1
77000,1302000,7123,43.7998633427206,1
93000,1302000,7125,121.365389512712,1
101000,1302000,7126,98.3029977185728,1
109000,1302000,7127,55.1136469508634,2
117000,1302000,7128,37.8400409600038,5
125000,1302000,7129,55.2429318740982,2
133000,1302000,7130,10.1436093535745,2
141000,1302000,7131,85.3935444863548,4
149000,1302000,7132,5.28693317733092,2
157000,1302000,7133,12.7444755493945,2
165000,1302000,7134,10.7195070100795,1
173000,1302000,7135,36.1921697189923,3
181000,1302000,7136,18.0194872764,4
189000,1302000,7137,30.0201620966733,2
197000,1302000,7138,47.8635425315979,5
205000,1302000,7139,56.9643933402595,2
213000,1302000,7140,45.7306947356186,4
221000,1302000,7141,19.1525539438961,3
229000,1302000,7142,NA,0
237000,1302000,7143,26.1375201380598,3
245000,1302000,7144,58.8203368163592,2
253000,1302000,7145,47.6624258183896,4
261000,1302000,7146,16.7755110047155,4
269000,1302000,7147,55.2867931835295,3
277000,1302000,7148,56.3510327093755,2
285000,1302000,7149,25.4260875248084,4
293000,1302000,7150,23.2125163656789,2
301000,1302000,7151,2.71636175163583,1
309000,1302000,7152,10.8466086690988,3
317000,1302000,7153,50.7230510613897,1
325000,1302000,7154,46.991451340709,1
333000,1302000,7155,30.6277293235145,2
341000,1302000,7156,48.5149515693191,2
349000,1302000,7157,32.1801308015181,3
357000,1302000,7158,40.3291507921003,2
365000,1302000,7159,21.5241103708306,3
373000,1302000,7160,108.965845805404,1
381000,1302000,7161,12.2095634276555,1
389000,1302000,7162,34.0305321846542,2
405000,1302000,7164,22.5827025575156,2
413000,1302000,7165,44.7340720284848,2
421000,1302000,7166,31.0606161940619,1
429000,1302000,7167,24.459912066418,1
437000,1302000,7168,17.1780121907336,4
445000,1302000,7169,33.3812732971998,2
453000,1302000,7170,44.3351461066124,1
461000,1302000,7171,25.4199057831275,2
469000,1302000,7172,69.9728065279522,1
477000,1302000,7173,15.9729142105111,1
485000,1302000,7174,75.8075687807022,3
493000,1302000,7175,NA,0
597000,1302000,7188,49.5216724470565,1
605000,1302000,7189,NA,0
613000,1302000,7190,92.741708858075,1
21000,1294000,7412,135.673495191497,1
37000,1294000,7414,NA,0
45000,1294000,7415,42.6306798624124,1
53000,1294000,7416,NA,0
61000,1294000,7417,42.8615639371098,1
69000,1294000,7418,80.2177597394243,1
77000,1294000,7419,52.8055389797058,1
85000,1294000,7420,125.750380989972,3
93000,1294000,7421,35.69585913685,2
101000,1294000,7422,NA,0
109000,1294000,7423,42.6587912290567,1
117000,1294000,7424,39.0133061539767,4
125000,1294000,7425,98.1373529125424,3
133000,1294000,7426,82.4372503389274,2
141000,1294000,7427,69.6832121332587,2
149000,1294000,7428,60.1891041180011,5
157000,1294000,7429,51.8765696217211,3
165000,1294000,7430,42.1881754169382,1
173000,1294000,7431,64.4216907200453,5
181000,1294000,7432,11.1409966830971,3
189000,1294000,7433,29.1358685085698,1
197000,1294000,7434,51.4335545744177,3
205000,1294000,7435,44.5078662997681,4
213000,1294000,7436,25.752911973533,2
221000,1294000,7437,47.2635193088129,3
229000,1294000,7438,37.133081391439,2
237000,1294000,7439,17.5651830330628,1
245000,1294000,7440,31.3788237631025,2
253000,1294000,7441,62.7553808272845,3
261000,1294000,7442,40.8150036058343,3
269000,1294000,7443,NA,0
277000,1294000,7444,6.3106227123639,1
285000,1294000,7445,53.2537963621659,2
293000,1294000,7446,16.7204134894032,2
301000,1294000,7447,40.4274393447689,2
309000,1294000,7448,10.0520860448324,4
317000,1294000,7449,75.0456335195391,1
333000,1294000,7451,93.2415331018383,2
341000,1294000,7452,16.626056030354,2
349000,1294000,7453,56.3083794101136,3
357000,1294000,7454,47.1462428508578,1
365000,1294000,7455,NA,0
373000,1294000,7456,14.0124731040539,1
381000,1294000,7457,38.2863348721285,2
389000,1294000,7458,69.028348873583,5
397000,1294000,7459,46.0961439260516,3
405000,1294000,7460,20.4347002430275,1
413000,1294000,7461,15.0124726352387,2
421000,1294000,7462,33.957848607834,2
429000,1294000,7463,32.6977179399996,1
437000,1294000,7464,83.0164308991034,2
445000,1294000,7465,9.43875925326516,1
453000,1294000,7466,NA,0
461000,1294000,7467,74.8122743177218,2
469000,1294000,7468,36.024965793678,5
477000,1294000,7469,79.373126511829,4
485000,1294000,7470,6.55930459021271,1
493000,1294000,7471,53.3787649311844,4
501000,1294000,7472,112.517415223809,2
509000,1294000,7473,71.8210773795319,1
517000,1294000,7474,25.3481318233882,1
525000,1294000,7475,NA,0
589000,1294000,7483,44.3361114824286,1
597000,1294000,7484,152.563881124893,2
605000,1294000,7485,35.6653763721321,1
61000,1286000,7713,43.9935751542136,1
69000,1286000,7714,35.2960273299179,2
77000,1286000,7715,28.9098315676641,2
85000,1286000,7716,130.418662938356,1
93000,1286000,7717,NA,0
101000,1286000,7718,54.7424332247916,2
109000,1286000,7719,NA,0
117000,1286000,7720,NA,0
125000,1286000,7721,128.94675566571,1
133000,1286000,7722,59.4684520499256,2
141000,1286000,7723,38.2063930574009,2
149000,1286000,7724,42.7901692754222,4
157000,1286000,7725,53.5852370470194,2
165000,1286000,7726,9.73962560397256,1
173000,1286000,7727,36.3442577149894,2
181000,1286000,7728,69.6858809451612,2
189000,1286000,7729,46.5877384915904,3
197000,1286000,7730,96.0068085185064,3
205000,1286000,7731,17.6186087533827,1
213000,1286000,7732,32.2016441754703,1
221000,1286000,7733,76.8873408908194,2
229000,1286000,7734,3.77922756098477,2
237000,1286000,7735,46.7682421720105,3
245000,1286000,7736,36.1948501584972,3
253000,1286000,7737,50.1279479736209,2
261000,1286000,7738,72.5111210011745,4
269000,1286000,7739,28.3563781877157,2
277000,1286000,7740,5.75636272433028,1
285000,1286000,7741,21.8032852944761,2
293000,1286000,7742,NA,0
301000,1286000,7743,29.9909567435586,4
309000,1286000,7744,11.8930459497054,4
317000,1286000,7745,57.4587398621539,2
325000,1286000,7746,100.47704131652,1
333000,1286000,7747,24.0372085479596,3
341000,1286000,7748,71.6645228572493,4
349000,1286000,7749,26.1668361721314,3
357000,1286000,7750,38.3682790823776,3
365000,1286000,7751,37.1605714826945,2
373000,1286000,7752,47.6722716093167,2
381000,1286000,7753,19.9199524339985,1
389000,1286000,7754,NA,0
397000,1286000,7755,26.723017041296,2
405000,1286000,7756,33.283122489427,1
413000,1286000,7757,NA,0
421000,1286000,7758,37.9916396068279,2
429000,1286000,7759,29.3704628169686,3
437000,1286000,7760,33.2844553253391,1
445000,1286000,7761,26.0924872237837,1
453000,1286000,7762,62.5055485981263,3
461000,1286000,7763,43.3663859393547,3
469000,1286000,7764,66.7483928468505,5
477000,1286000,7765,40.2230236383584,2
485000,1286000,7766,39.3310464177597,4
493000,1286000,7767,24.0238359971855,2
501000,1286000,7768,79.548837979692,4
509000,1286000,7769,40.296686626214,4
517000,1286000,7770,68.7014637924036,2
525000,1286000,7771,151.56731792014,2
573000,1286000,7777,39.5144520337103,1
581000,1286000,7778,118.804171085483,1
589000,1286000,7779,56.8449286497109,2
597000,1286000,7780,16.0428818100545,1
-19000,1278000,7999,22.0615114967795,1
-11000,1278000,8000,NA,0
61000,1278000,8009,76.6760922035851,2
69000,1278000,8010,34.6678324373989,2
77000,1278000,8011,64.6246901556383,3
85000,1278000,8012,39.5548503838196,2
93000,1278000,8013,52.240920055583,2
101000,1278000,8014,43.2674948658347,4
109000,1278000,8015,10.7020104422049,2
117000,1278000,8016,NA,0
125000,1278000,8017,28.3365809188002,2
133000,1278000,8018,22.8641743232961,1
141000,1278000,8019,88.8637550660224,3
149000,1278000,8020,89.5549169025282,2
157000,1278000,8021,91.9042240751334,1
165000,1278000,8022,91.9050793251404,2
173000,1278000,8023,13.534225429835,3
181000,1278000,8024,16.9489412517437,1
189000,1278000,8025,118.082502688947,4
197000,1278000,8026,81.0769338658704,4
205000,1278000,8027,89.8998320374187,3
213000,1278000,8028,24.7164266994457,3
